datetime,value,validation_block,predict
2018-02-16 22:00:00,17.32,0,17.298166900662213
2018-02-16 22:01:00,17.32,0,17.27747830256661
2018-02-16 22:02:00,17.32,0,17.25790917085602
2018-02-16 22:03:00,17.32,0,17.239849366700966
2018-02-16 22:04:00,17.32,0,17.222639458430184
2018-02-16 22:05:00,17.32,0,17.20627944604367
2018-02-16 22:06:00,17.32,0,17.190769329541453
2018-02-16 22:07:00,17.32,0,17.176109108923505
2018-02-16 22:08:00,17.32,0,17.162298784189833
2018-02-16 22:09:00,17.32,0,17.14933835534043
2018-02-16 22:10:00,17.32,0,17.11712079666307
2018-02-16 22:11:00,17.32,0,17.08595343972817
2018-02-16 22:12:00,17.32,0,17.055836284535737
2018-02-16 22:13:00,17.32,0,17.026769331085774
2018-02-16 22:14:00,17.32,0,16.99875257937827
2018-02-16 22:15:00,17.32,0,16.971786029413227
2018-02-16 22:16:00,17.32,0,16.945869681190654
2018-02-16 22:17:00,17.32,0,16.921003534710547
2018-02-16 22:18:00,17.76,0,16.8971875899729
2018-02-16 22:19:00,17.76,0,16.874421846977725
2018-02-16 22:20:00,17.76,0,16.85270630572501
2018-02-16 22:21:00,17.76,0,16.83204096621476
2018-02-16 22:22:00,17.76,0,16.812425828446973
2018-02-16 22:23:00,17.76,0,16.79386089242165
2018-02-16 22:24:00,17.76,0,16.776346158138807
2018-02-16 22:25:00,17.76,0,16.759881625598396
2018-02-16 22:26:00,17.76,0,16.74446729480049
2018-02-16 22:27:00,17.76,0,16.730103165745014
2018-02-16 22:28:00,17.76,0,16.716789238432032
2018-02-16 22:29:00,17.76,0,16.704525512861498
2018-02-16 22:30:00,17.76,0,16.69331198903343
2018-02-16 22:31:00,17.76,0,16.68314866694783
2018-02-16 22:32:00,17.76,0,16.674035546604696
2018-02-16 22:33:00,17.76,0,16.665972628004024
2018-02-16 22:34:00,17.76,0,16.65895991114582
2018-02-16 22:35:00,17.76,0,16.652997396030074
2018-02-16 22:36:00,17.76,0,16.648085082656795
2018-02-16 22:37:00,17.76,0,16.64422297102599
2018-02-16 22:38:00,17.76,0,16.641411061137642
2018-02-16 22:39:00,17.76,0,16.639649352991757
2018-02-16 22:40:00,17.76,0,16.638937846588348
2018-02-16 22:41:00,17.76,0,16.639276541927405
2018-02-16 22:42:00,17.76,0,16.640665439008906
2018-02-16 22:43:00,17.76,0,16.643104537832894
2018-02-16 22:44:00,17.76,0,16.64659383839934
2018-02-16 22:45:00,17.76,0,16.65113334070825
2018-02-16 22:46:00,17.76,0,16.656723044759623
2018-02-16 22:47:00,17.76,0,16.663362950553466
2018-02-16 22:48:00,17.76,0,16.67105305808977
2018-02-16 22:49:00,17.76,0,16.662861569586685
2018-02-16 22:50:00,17.76,1,17.64144292714497
2018-02-16 22:51:00,17.76,1,17.527756861655988
2018-02-16 22:52:00,17.76,1,17.418024279092123
2018-02-16 22:53:00,17.76,1,17.3571024472332
2018-02-16 22:54:00,17.76,1,17.29918208903311
2018-02-16 22:55:00,17.76,1,17.244263204491837
2018-02-16 22:56:00,17.76,1,17.19234579360943
2018-02-16 22:57:00,17.76,1,17.143429856385872
2018-02-16 22:58:00,17.76,1,17.097515392821162
2018-02-16 22:59:00,17.76,1,17.05460240291525
2018-02-16 23:00:00,17.76,1,16.97330976120715
2018-02-16 23:01:00,17.76,1,16.895725988932107
2018-02-16 23:02:00,17.76,1,16.82185108609012
2018-02-16 23:03:00,17.76,1,16.751685052681214
2018-02-16 23:04:00,17.76,1,16.685227888705352
2018-02-16 23:05:00,17.76,1,16.622479594162535
2018-02-16 23:06:00,17.76,1,16.563440169052804
2018-02-16 23:07:00,17.76,1,16.508109613376135
2018-02-16 23:08:00,17.76,1,16.45648792713251
2018-02-16 23:09:00,17.76,1,16.408575110321976
2018-02-16 23:10:00,17.76,1,16.364371162944476
2018-02-16 23:11:00,17.76,1,16.323876085000045
2018-02-16 23:12:00,17.76,1,16.287089876488658
2018-02-16 23:13:00,17.76,1,16.254012537410347
2018-02-16 23:14:00,17.76,1,16.224644067765126
2018-02-16 23:15:00,17.76,1,16.198984467552897
2018-02-16 23:16:00,18.25,1,16.1770337367738
2018-02-16 23:17:00,18.25,1,16.158791875427717
2018-02-16 23:18:00,18.25,1,16.144258883514738
2018-02-16 23:19:00,18.25,1,16.133434761034795
2018-02-16 23:20:00,18.25,1,16.126319507987894
2018-02-16 23:21:00,18.25,1,16.122913124374094
2018-02-16 23:22:00,18.25,1,16.12321561019334
2018-02-16 23:23:00,18.25,1,16.127226965445637
2018-02-16 23:24:00,18.25,1,16.134947190131008
2018-02-16 23:25:00,18.25,1,16.146376284249417
2018-02-16 23:26:00,18.25,1,16.161514247800902
2018-02-16 23:27:00,18.25,1,16.18036108078547
2018-02-16 23:28:00,18.25,1,16.20291678320306
2018-02-16 23:29:00,18.25,1,16.229181355053726
2018-02-16 23:30:00,18.25,1,16.259154796337484
2018-02-16 23:31:00,18.25,1,16.292837107054286
2018-02-16 23:32:00,18.25,1,16.330228287204108
2018-02-16 23:33:00,18.25,1,16.371328336787037
2018-02-16 23:34:00,18.25,1,16.416137255803022
2018-02-16 23:35:00,18.25,1,16.464655044252062
2018-02-16 23:36:00,18.25,1,16.516881702134164
2018-02-16 23:37:00,18.25,1,16.57281722944932
2018-02-16 23:38:00,18.25,1,16.632461626197536
2018-02-16 23:39:00,18.25,1,16.61511294283735
