datetime,value,validation_block,predict
2018-05-01 00:00:00,1.2866,0,1.2680267348173655
2018-06-01 00:00:00,1.3125,0,1.2678381542478374
2018-07-01 00:00:00,1.3133,0,1.2676495646574941
2018-08-01 00:00:00,1.3042,0,1.267792003657036
2018-09-01 00:00:00,1.3034,0,1.2676034184801277
2018-10-01 00:00:00,1.3004,0,1.267414824227572
2018-11-01 00:00:00,1.3205,0,1.2672262208667107
2018-12-01 00:00:00,1.3436,0,1.2673685786177993
2019-01-01 00:00:00,1.33,0,1.2671799793623102
2019-02-01 00:00:00,1.3209,0,1.266991370951366
2019-03-01 00:00:00,1.3371,1,1.2673726899476279
2019-04-01 00:00:00,1.3378,1,1.267209477999284
2019-05-01 00:00:00,1.3459999999999999,1,1.2670462572050234
2019-06-01 00:00:00,1.3289,1,1.2668830275369023
2019-07-01 00:00:00,1.3105,1,1.2667197889676982
2019-08-01 00:00:00,1.3273,1,1.2665565414708928
2019-09-01 00:00:00,1.3241,1,1.2663932850207018
2019-10-01 00:00:00,1.3189,1,1.2668032121174695
2019-11-01 00:00:00,1.3237,1,1.266639980896836
2019-12-01 00:00:00,1.3169,1,1.2664767406834194
